doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,clase_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Sola,6201,2Q2017,1533841476630,5,5,5,3,4,1,1,3,1,
Gonzalez,6201,2Q2017,1533841476631,5,1,1,1,1,1,1,1,1,
Papa,6201,2Q2017,1533841476631,5,5,5,3,3,2,2,2,1,
Morales Arias,6201,2Q2017,1533841476632,5,5,5,5,5,5,3,1,3,
Cardozo,7502,1Q2018,1533841500001,5,4,5,5,4,5,5,4,5,
Roasio,7502,1Q2018,1533841500007,5,5,5,5,4,4,4,5,5,
Sanz,7502,1Q2018,1533841500010,5,5,5,5,4,4,4,5,5,
Arriazu,7501,2Q2017,1533841580491,3,3,5,4,5,5,5,5,5,
Loyola Hidalgo,7501,2Q2017,1533841580494,5,5,4,4,4,3,5,4,5,
Merlo,8710,1Q2018,1533841379877,5,2,3,3,3,1,1,3,2,RXMgdW4gcMOpc2ltbyBkb2NlbnRlIHF1ZSBsbyDDum5pY28gcXVlIGdlbmVyYSBlcyBxdWUgc3UgbWF0ZXJpYSBzZWEgZMOtYSBhIGTDrWEgbcOhcyBidXJvY3LDoXRpY2EsIGVuIGN1YWxxdWllciBpbnN0YW5jaWEsIHRhbnRvIGVudHJlZ2EgZGUgdHJhYmFqb3MsIGNvbW8gZWwgcGFyY2lhbCB5IHByaW5jaXBhbG1lbnRlIGVsIGZpbmFsLiBIYWNlIGxvIHF1ZSBxdWllcmUgY29uIGVsIHRpZW1wbyBkZSBsb3MgYWx1bW5vcyB5IGxsZWdhIGN1YW5kbyBxdWllcmUuIE5vIHNvbG8gZXNvLCBzaW5vIHF1ZSBlbiBsYXMgaW5zdGFuY2lhcyBkZSBldmFsdWFjacOzbiBzZSBxdWVkYSBzZW50YWRvIG1pcmFuZG8gbGlicmV0YXMgbyBwYXNlYW5kbyBtaWVudHJhcyB0aWVuZSBhIHN1cyBheXVkYW50ZXMgY29ycmlnaWVuZG8gYSBtw6FzIG5vIHBvZGVyLg==
Acero,6107,1Q2018,1533841555671,5,5,3,4,5,4,4,3,2,
Bolivar,6107,1Q2018,1533841555679,5,4,4,4,4,5,4,4,2,
Peralta,6108,1Q2018,1533841573843,5,5,5,5,5,5,5,5,3,
Orecchia,6108,1Q2018,1533841573846,5,5,5,5,5,5,5,5,3,
Maulhardt,6103,1Q2017,1533841603908,5,5,4,5,5,4,5,2,3,
Comas,6103,1Q2017,1533841603908,5,5,5,4,4,4,4,4,3,
Porta,6103,1Q2017,1533841603909,5,5,5,5,4,5,5,5,3,
Francois,6302,1Q2017,1533841726785,5,5,4,3,3,4,5,5,2,
Fasoli,6302,1Q2017,1533841726785,5,5,5,5,5,4,5,5,1,
Fanchiotti,6302,1Q2017,1533841726787,5,5,5,3,3,5,5,5,2,
Cardozo,7502,1Q2018,1533841664760,3,1,2,2,4,3,4,2,5,
Corsini,6201,1Q2018,1533841678048,5,5,1,3,3,5,4,5,1,VGUgdGVuZXMgcXVlIGFjb3N0dW1icmFyIGEgcXVlIHRlIGhhZ2EgcHJlZ3VudGFzIGVuIGZyZW50ZSBkZSB0b2RvcyB5IHNpIG5vIHNhYmVzIHRlIHRpZW5lIHRyZXMgaG9yYXMgZGFuZG8gdnVlbHRhcw==
Repetto,6201,1Q2018,1533841678050,5,5,2,3,4,2,2,1,4,
Reboredo,6201,1Q2018,1533841678052,5,5,5,5,5,5,5,5,5,
Ferrari,6201,1Q2018,1533841678053,3,3,3,3,3,3,3,3,3,
Hernández,6201,1Q2018,1533841678054,5,5,5,5,5,5,5,5,5,
Corsini,6201,1Q2017,1533841692597,5,5,5,5,5,4,5,4,5,
Ciocci Brazzano,6201,1Q2017,1533841692598,5,5,5,5,5,5,5,5,5,
Sanchez,6201,1Q2017,1533841692599,4,4,4,3,3,3,3,4,3,
Duplaa,6201,1Q2017,1533841692600,5,5,5,3,3,3,3,5,5,
Bellocq,6201,1Q2017,1533841692601,5,5,5,2,2,2,2,2,2,
Prelat,6108,1Q2018,1533841711515,4,4,3,3,4,5,5,3,2,
Roberts,6108,1Q2018,1533841711523,4,4,5,4,4,4,4,4,2,
Muszkats,6108,1Q2018,1533841711531,5,5,5,4,5,5,5,5,5,
Corsini,6201,1Q2017,1533841809157,5,5,2,4,4,5,5,5,4,
Ciocci Brazzano,6201,1Q2017,1533841809158,5,5,5,5,5,5,5,5,5,
Duplaa,6201,1Q2017,1533841809160,5,5,5,2,2,4,2,3,3,
Bellocq,6201,1Q2017,1533841809161,2,3,3,1,1,2,1,2,1,
Jacobo,6313,2Q2017,1533841778346,5,5,5,5,5,3,4,4,1,
Aphesteguy,6313,2Q2017,1533841778348,5,3,3,3,1,1,1,1,1,
Herme,6313,2Q2017,1533841778351,5,5,5,5,5,5,5,3,1,
Zitto,6103,1Q2017,1533841855416,4,5,5,5,5,5,5,5,2,
Bergamini,6103,1Q2017,1533841855418,5,5,5,5,5,4,5,5,2,
