doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,clase_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Rozenberg,6203,2Q2020,1617148064644,4,3,2,4,2,2,3,2,1,RXMgbG8gbWFsbyBkZSBsYSBjYXRlZHJhLiBTaSBwb2RlcyBhbmRhIGEgb3RyYSB0ZW9yaWNhIHBlcm8gYW5kYSBhIGxhIHByYWN0aWNhIGRlIExlaXRvIEJpbmRhIHF1ZSBlcyB1biBjYXBv
Peña,6109,1Q2020,1617148756661,5,5,3,3,5,5,5,2,5,R3JhbiBwcm9mZXNvcmEsIHRpZW5lIHN1cyBjb3NhcyBwZXJvIHRlIHNhY2EgYnVlbm8gc2VndXJv
Albert,6109,1Q2020,1617148756662,5,5,3,2,2,5,3,3,5,RXhwbGljYSBtdXV1eSBsZW50bywgbm8gc2UgbGUgZW50aWVuZGUgbXVjaG8sIGVzdGEgYmllbiBwcmVkaXNwdWVzdG8gYSByZXNwb25kZXIgY29uc3VsdGFzIHBlcm8gY2FzaSBudW5jYSBtZSBzaXJ2aW8gc3UgcmVzcHVlc3Rh
López,6109,1Q2020,1617148756662,5,5,5,5,5,5,5,5,5,TGEgY2xhdmUgZGVsIMOpeGl0by4gVW4gY2FwbywgdW4gZmVuw7NtZW5vLCBhIHZlY2VzIHBvbsOtYSBtw7pzaWNhIGFudGVzIGRlIGFycmFuY2FyIGxhIGNsYXNlIHBhcmEgcG9uZXJsZSBvbmRhLiBFeHBsaWNhIHN1dXV1cGVyIGNsYXJvLCBlcyBzdXBlciBjb25jaXNvLCB0ZSBoYWNlIHBlbnNhci4gU2kgbmVjZXNpdGFzIG1ldGVzIG1lZXQgbWFubyBhIG1hbm8gY29uIGVsIHkgbGUgaGFjZXMgY29uc3VsdGEuIExhIHZlcmRhZCBxdWUgMTAgcHVudG9zLCBkZSBsbyBtZWpvciBxdWUgbWUgY3J1Y2UgZW4gbGEgZmFjdWx0YWQuIE1lIHNhY28gZWwgc29tYnJlcm8=
Castagnino,8405,2Q2020,1617149034343,5,3,5,5,5,5,5,5,3,VW4gdGlwYXNvIG1hbC4gVW4gYnJvZGVyLiBRdWllcmUgcXVlIGFwcnViZXMuIFN1cGVyIHJlbGFqYWRvLCB5IGJ1ZW4gcHJvZmVzb3I=
Giacoia,8405,2Q2020,1617149034343,5,5,5,2,1,1,5,2,2,VW4gZGVzYXN0cmUuIE5vIHB1ZWRlIGRhciBjbGFzZSBlc3RlIG11Y2hhY2hv
Seminara,6103,2Q2020,1617150008851,5,5,5,5,5,4,5,5,5,
Lucuy Suarez,6103,2Q2020,1617150008854,5,5,5,5,4,3,5,5,1,
Palazon,6103,2Q2020,1617150008857,5,5,5,5,4,5,5,5,1,
Calzaretto,8917,1Q2020,1617149958510,5,5,5,5,5,5,5,5,5,
Coronel,8917,1Q2020,1617149958511,5,5,5,5,5,5,5,5,5,VW4gY2FwbyB0b3RhbCwgZGUgbG8gbWVqb3IgcXVlIG1lIGNydWNlIGVuIGxhIGZhY3VsdGFkLiBIYWNlIHF1ZSB0ZSBndXN0ZSB1bmEgbWF0ZXJpYSBjb21vIGZsdWlkb3MgcXVlIGRlIGxpbmRhIHRpZW5lIHBvY28uIEVsIHRpcG8gZGlvIGNsYXNlIGEgdG9kYSBjb3N0YSwgY29uIGNvdmlkLCBjb24gc3UgbXVqZXIgY29uIGNvdmlkLCBjb24gc3UgaGlqYSBjb24gY292aWQuIFNlIGxlIHJvbXBpbyBlbCBsYXBpeiBkZWwgaVBhZCB5IGFsIHRvcXVlIGNvbXBybyBvdHJvIGNvbiBzdXMgYWhvcnJvcyBwYXJhIGRhciBlbCBtZWpvciBjb250ZW5pZG8gcG9zaWJsZS4gQXRpZW5kZSBsYXMgZHVkYXMsIHN1cGVyIGNvcGFkby4gRGVzdGFjbyBtdWNoaXNpbW8gc3VzIGNvbm9jaW1pZW50b3MgeSBzdSBuaXZlbCBodW1hbm8uIEFkbWlyYWJsZSBwcm9mZXNvci4gVGUgc2FjYSBidWVubyBzaSBvIHNp
Berbery,8917,1Q2020,1617149958512,3,3,3,2,1,3,3,3,3,RXN0YSBnYWdhIHBvYnJl
Paez,7510,2Q2020,1617151686459,5,5,5,5,5,5,5,3,5,
Gutter,7510,2Q2020,1617151686460,5,5,5,5,5,5,5,5,5,
Aguirre,6215,2Q2020,1617151895187,5,5,3,3,3,2,3,2,4,TGEgbWF0ZXJpYSBzaSBubyBkZWJlcmlhIGV4aXN0aXIgZW4gSW5nZW5pZXJpYSBlbiBJbmZvcm1hdGljYSwgZW4gbGEgbWl0YWQgZGVsIGN1YXRyaW1lc3RyZSBtYW5kbyB1biBlbWFpbCBqdXN0aWZpY2FuZG8gc3UgdHJhYmFqby4gRXMgdW5hIG1hdGVyaWEgcXVlIHNvbG8gbWV0ZSBwYWxvcyBlbiBsYSBydWVkYSBhIGxhcyBwZXJzb25hcywgZXN0ZSBjdXJzbyBlcyBtdWNobyBtZWpvciBjb21wYXJhZG8gYWwgb3Ryby4=
Ferrigno,7531,2Q2020,1617152001881,5,5,5,5,5,5,5,5,5,TXV5IGJ1ZW4gY3Vyc28sIHJlY29taWVuZG8gaGFjZXIgbGEgbWF0ZXJpYSBkZSBmb3JtYSBvbmxpbmUhLiBGZXJyaWdubyBsZSBtZXRlIG11Y2hhIG9uZGEsIHkgbGUgZ3VzdGEgcXVlIGFwcmVuZGFzIGFsZ28gbnVldm8uIA==
Colombo,7114,2Q2020,1617152145112,5,5,5,4,5,5,5,5,5,RXhwbGljYSBiaWVuLCBwZXJvIHNlIG5vdGEgYSB2ZWNlcyBjb21vIGV4dGllbmRlIGxhIGNsYXNlIGlubmVjZXNhcmlhbWVudGUuIFNpZW1wcmUgbXV5IGF0ZW50byBhIGxhcyBwcmVndW50YXMgZGUgU2xhY2sh
Marin,7114,2Q2020,1617152145113,5,5,5,5,5,5,5,5,5,
Sosti,8405,2Q2020,1617239399415,5,5,5,5,5,5,5,5,5,TXV5IGJ1ZW4gcHJvZmVzb3IsIHNlIG5vdGEgcXVlIGFtYSBsbyBxdWUgaGFjZS4NClNpZW1wcmUgZGFkYSBsYXMgdGXDs3JpY2FzIGVuIGVsIGhvcmFyaW8geSBkw61hcyBlc3RhYmxlY2lkb3MsIGEgdmVjZXMgc2UgcGFzYWJhIHVub3MgbWludXRvcyBkZSB0aWVtcG8gcGVybyBuYWRhIGRlbCBvdHJvIGRlbCBtdW5kbyAsaGFzdGEgZW4gZmVyaWFkb3MgZGFiYSB1bmEgaG9yYSB5IG1lZGlhIGNsYXNlIG1hcyBvIG1lbm9zIHBhcmEgbm8gYXRyYXNhcm5vcywgeWEgcXVlIHR1dmltb3MgbXVjaG9zIGZlcmlhZG9zLg0KRGEgY2xhc2VzIHBvciB6b29tICxwcmltZXJvIGZ1ZSBleHBsaWNhbmRvIGNvbiBwb3dlciBwb2ludHMsIHBlcm8gbHVlZ28gZXhwbGljbyBlbiBwYXBlbCwgZXMgY2xhcm8gZXhwbGljYW5kbyAsc3ViZSBsYXMgaG9qYXMgZXNjYW5lYWRhcyBhbCBjYW1wdXMuDQpMYXMgY2xhc2VzIHNlIGdyYWJhbiB5IGxhcyBzdWJlIGEgWW91VHViZSBlbiBlbCBjYW5hbCBkZWwgZGVwdG8uIGRlIGVzdGFiaWxpZGFkLCBhIHZlY2VzIHRhcmRhIGVuIHN1YmlyIGxhcyBjbGFzZXMgcG9ycXVlIGxhcyBlZGl0YS4NClRpZW5lIG11eSBidWVuYSBkaXNwb3NpY2nDs24uDQpFc3RlIGNvbWVudGFyaW8gZXMgcGFyYSBsYXMgcHJhY3RpY2FzKCBzb3N0aSBkYSBsYXMgdGVvcmljYXMpIDogRW4gZ2VuZXJhbCBwYXJhIGFtYmFzIHByYWN0aWNhcyBsbyBuZWdhdGl2byBzb24gbG9zIHRwcyAscXVlIHNvbiBiYXN0YW50ZSBsYXJnb3MgcG9yIGxvIHF1ZSBsbGV2YW4gdGllbXBvLCBtYXMgYXVuIHNpIHR1cyBjb21wYcOxZXJvcyBubyBjb2xhYm9yYW4uDQpMbyBidWVubyBwYXJhIGFtYmFzIHByYWN0aWNhcyBlcyBxdWUgc2kgaGFjZXMgbG9zIHRwcyBxdWUgc2VyaWFuIGxhcyBndWlhcyBkZSBsYSBtYXRlcmlhIGVzdGFzIG1hcyBxdWUgbGlzdG8gcGFyYSBsb3MgcGFyY2lhbGVzLCB5YSBxdWUgbGEgZGlmaWN1bHRhZCBkZSBsb3MgcGFyY2lhbGVzIHF1ZSBkYW4gc3VlbGUgc2VyIG1lbm9yIGEgbGEgZGUgbG9zIHRwcy4gDQoNCg==
Taslaktzian,8405,2Q2020,1617239399416,5,5,5,5,5,5,5,5,5,RXhjZWxlbnRlIHByb2Zlc29yYSBleHBsaWNhIG11eSBiaWVuLCB0YW50byBxdWUgaGFzdGEgc2kgbm8gbWlyYXMgbGEgdGVvcmljYSBsZSBlbnRlbmRlcyBwZXJmZWN0bywgeSBsb3MgZWplcmNpY2lvcyB0ZSBzYWxlbiBzaSBubyBmYWx0YXMgYSBsYXMgcHJhY3RpY2FzICx5YSBxdWUgdGUgaGFjZSB1bmEgbWluaSBpbnRyb2R1Y2Npw7NuIHRlb3JpY2Egc2llbXByZSBxdWUgZW1waWV6YSBjb24gdW4gdGVtYS4NCkRhIGxhcyBwcmFjdGljYXMgcG9yIHpvb20sIGdyYWJhIGxhcyBjbGFzZXMgeSBsYXMgc3ViZSBlbiB1biBkcml2ZSBxdWUgZXN0YSBzdXBlciBvcmdhbml6YWRvIHBvciBjbGFzZXMsIGhhc3RhIGVzdGFuIGxhcyBjbGFzZXMgZGVsIDFDIDIwMjENClN1cyBheXVkYW50ZXMgdGFtYmllbiBzb24gYmFzdGFudGUgYnVlbm9zLg0KUmVjb21lbmRhY2nDs24gcGVyc29uYWwgeWEgcXVlIFNvc3RpICAgdGllbmUgMiBwcmFjdGljYXMsIGN1cnNhIGVuIGxhIHByYWN0aWNhIHF1ZSBlc3RlIGVsbGEsIHBvc3RhIGVzIGNsYXJhIGV4cGxpY2FuZG8sIHNpbm8gc2llbXByZSBwb2RlcyBlbnRyYXIgYWwgZHJpdmUgZW4gZG9uZGUgc3ViZSBsYXMgY2xhc2VzLCB5YSBxdWUgZWwgY2FtcHVzIGRlbCBjdXJzbyBubyByZXF1aWVyZSBtYXRyaWN1bGFjacOzbi4=
Sosti,8405,2Q2020,1617239395902,5,5,5,5,5,5,5,5,5,TXV5IGJ1ZW4gcHJvZmVzb3IsIHNlIG5vdGEgcXVlIGFtYSBsbyBxdWUgaGFjZS4NClNpZW1wcmUgZGFkYSBsYXMgdGXDs3JpY2FzIGVuIGVsIGhvcmFyaW8geSBkw61hcyBlc3RhYmxlY2lkb3MsIGEgdmVjZXMgc2UgcGFzYWJhIHVub3MgbWludXRvcyBkZSB0aWVtcG8gcGVybyBuYWRhIGRlbCBvdHJvIGRlbCBtdW5kbyAsaGFzdGEgZW4gZmVyaWFkb3MgZGFiYSB1bmEgaG9yYSB5IG1lZGlhIGNsYXNlIG1hcyBvIG1lbm9zIHBhcmEgbm8gYXRyYXNhcm5vcywgeWEgcXVlIHR1dmltb3MgbXVjaG9zIGZlcmlhZG9zLg0KRGEgY2xhc2VzIHBvciB6b29tICxwcmltZXJvIGZ1ZSBleHBsaWNhbmRvIGNvbiBwb3dlciBwb2ludHMsIHBlcm8gbHVlZ28gZXhwbGljbyBlbiBwYXBlbCwgZXMgY2xhcm8gZXhwbGljYW5kbyAsc3ViZSBsYXMgaG9qYXMgZXNjYW5lYWRhcyBhbCBjYW1wdXMuDQpMYXMgY2xhc2VzIHNlIGdyYWJhbiB5IGxhcyBzdWJlIGEgWW91VHViZSBlbiBlbCBjYW5hbCBkZWwgZGVwdG8uIGRlIGVzdGFiaWxpZGFkLCBhIHZlY2VzIHRhcmRhIGVuIHN1YmlyIGxhcyBjbGFzZXMgcG9ycXVlIGxhcyBlZGl0YS4NClRpZW5lIG11eSBidWVuYSBkaXNwb3NpY2nDs24uDQpFc3RlIGNvbWVudGFyaW8gZXMgcGFyYSBsYXMgcHJhY3RpY2FzKCBzb3N0aSBkYSBsYXMgdGVvcmljYXMpIDogRW4gZ2VuZXJhbCBwYXJhIGFtYmFzIHByYWN0aWNhcyBsbyBuZWdhdGl2byBzb24gbG9zIHRwcyAscXVlIHNvbiBiYXN0YW50ZSBsYXJnb3MgcG9yIGxvIHF1ZSBsbGV2YW4gdGllbXBvLCBtYXMgYXVuIHNpIHR1cyBjb21wYcOxZXJvcyBubyBjb2xhYm9yYW4uDQpMbyBidWVubyBwYXJhIGFtYmFzIHByYWN0aWNhcyBlcyBxdWUgc2kgaGFjZXMgbG9zIHRwcyBxdWUgc2VyaWFuIGxhcyBndWlhcyBkZSBsYSBtYXRlcmlhIGVzdGFzIG1hcyBxdWUgbGlzdG8gcGFyYSBsb3MgcGFyY2lhbGVzLCB5YSBxdWUgbGEgZGlmaWN1bHRhZCBkZSBsb3MgcGFyY2lhbGVzIHF1ZSBkYW4gc3VlbGUgc2VyIG1lbm9yIGEgbGEgZGUgbG9zIHRwcy4gDQoNCg==
Taslaktzian,8405,2Q2020,1617239395904,5,5,5,5,5,5,5,5,5,RXhjZWxlbnRlIHByb2Zlc29yYSBleHBsaWNhIG11eSBiaWVuLCB0YW50byBxdWUgaGFzdGEgc2kgbm8gbWlyYXMgbGEgdGVvcmljYSBsZSBlbnRlbmRlcyBwZXJmZWN0bywgeSBsb3MgZWplcmNpY2lvcyB0ZSBzYWxlbiBzaSBubyBmYWx0YXMgYSBsYXMgcHJhY3RpY2FzICx5YSBxdWUgdGUgaGFjZSB1bmEgbWluaSBpbnRyb2R1Y2Npw7NuIHRlb3JpY2Egc2llbXByZSBxdWUgZW1waWV6YSBjb24gdW4gdGVtYS4NCkRhIGxhcyBwcmFjdGljYXMgcG9yIHpvb20sIGdyYWJhIGxhcyBjbGFzZXMgeSBsYXMgc3ViZSBlbiB1biBkcml2ZSBxdWUgZXN0YSBzdXBlciBvcmdhbml6YWRvIHBvciBjbGFzZXMsIGhhc3RhIGVzdGFuIGxhcyBjbGFzZXMgZGVsIDFDIDIwMjENClN1cyBheXVkYW50ZXMgdGFtYmllbiBzb24gYmFzdGFudGUgYnVlbm9zLg0KUmVjb21lbmRhY2nDs24gcGVyc29uYWwgeWEgcXVlIFNvc3RpICAgdGllbmUgMiBwcmFjdGljYXMsIGN1cnNhIGVuIGxhIHByYWN0aWNhIHF1ZSBlc3RlIGVsbGEsIHBvc3RhIGVzIGNsYXJhIGV4cGxpY2FuZG8sIHNpbm8gc2llbXByZSBwb2RlcyBlbnRyYXIgYWwgZHJpdmUgZW4gZG9uZGUgc3ViZSBsYXMgY2xhc2VzLCB5YSBxdWUgZWwgY2FtcHVzIGRlbCBjdXJzbyBubyByZXF1aWVyZSBtYXRyaWN1bGFjacOzbi4=
Amoreo,6103,2Q2020,1617240274782,5,4,4,3,2,2,3,3,3,
Garcia Galiñanes,6103,2Q2020,1617240274791,4,4,3,3,2,2,3,3,3,Tm8gbWUgZnVlIGbDoWNpbCBsYSBjdXJzYWRhIGNvbiBHYXJjw61hLCBzZSBlbnJlZGFiYSBtdWNobyBleHBsaWNhbmRvIHRlbWFzIGNvbXBsaWNhZG9zLCBubyBlcmEgbXV5IGNsYXJvIGN1YW5kbyBleHBsaWNhYmEuIA==
Centeno,6103,2Q2020,1617240274797,3,3,3,3,3,3,3,3,3,
Venturiello,6103,2Q2020,1617240274800,3,3,3,3,3,3,3,3,2,
Vargas,6108,2Q2020,1617241595732,5,5,5,5,5,5,5,5,5,VmFyZ2FzIGVzIHVuYSBwcm9mZXNvcmEgZXhjZWxlbnRlIGxhIG1lam9yIGxlam9zLCBlcmEgZWwgbWVqb3IgY3Vyc28gcHJlc2VuY2lhbCB5IGxvIHNpZ3VlIHNpZW5kbyBhaG9yYSBxdWUgZXMgdmlydHVhbCwgbG8gdW5pY28gbWFsbyBxdWUgdGUgdGVuZ28gcGFyYSBkZWNpciBlcyBxdWUgcHJvYmFibGVtZW50ZSBubyB0ZSBsbGVnZXMgYSBpbnNjcmliaXIgZW4gc3UgYWxndW5vIGRlIHN1cyBjdXJzb3MgdGllbmUgMiAoYSBtZW5vcyBxdWUgdGVuZ2FzIHVuYSBleGNlbGVudGUgcHJpb3JpZGFkKSB5YSBxdWUgZWwgY3Vyc28gc2UgdmVuZGUgY29tbyBwYW4gY2FsaWVudGUgeSBubyBlcyBwb3IgbWVub3MgeWEgcXVlIGVzIGVsIG1lam9yLCBzaSBsbGVnYXMgY29uIHR1IHByaW9yaWRhZCBubyBkdWRlcyBlbiBhbm90YXJ0ZSBjb24gZWxsYS4NCkRhIGNsYXNlcyBwb3IgbWVldCwgbGFzIGdyYWJhICxzdWJlIG1hdGVyaWFsIGFsIGNhbXB1cyAsZXN0YSBzdXBlciBvcmdhbml6YWRvIHkgdGllbmUgbXVsdGlwbGUgY2hvaWNlIGRlIGNhZGEgZ3VpYSBwYXJhIHByYWN0aWNhciBwYXJhIGVsIHBhcmNpYWwgcmVjb21lbmRhZGlzaW1vLg==
Presa,6203,2Q2020,1617286011542,4,4,5,5,5,5,5,5,3,VW5hIGdlbmlhLCBtdXkgYnVlbmEgb25kYSBzaWVtcHJlIHkgc3VwZXIgY2xhcmE=
Silveyra,6203,2Q2020,1617286011542,5,5,5,5,4,2,5,5,4,QnVlbmEgZG9jZW50ZSwgbXV5IGNsYXJhIGV4cGxpY2FuZG8uIExhcyBjbGFzZXMgc29uIHVuIHBvY28gbW9uw7Nub3RvbmFzIHBvcnF1ZSBubyBkYSBsdWdhciBhIHBhcnRpY2lwYWNpw7NuLg==
Galloso,6203,2Q2020,1617286011543,4,5,5,5,4,5,4,5,4,
Leon Morales,6203,2Q2020,1617286011544,3,5,5,5,5,5,4,5,5,
Buchwald,7541,2Q2020,1617287394808,5,5,5,5,4,5,5,5,5,TWFydMOtbiBlcyBtdXkgY2xhcm8gZW4gbGFzIGV4cGxjaWFjaW9uZXMgeSBsYXMgY2xhc2VzIHF1ZWRhbiBncmFiYWRhcy4NClRlIGRhbiBtdWNow61zaW1vcyByZWN1cnNvcyBwYXJhIGVzdHVkaWFyLCBwcmVwYXJhdGUgeSBwcmVndW50YXIgZHVkYXMuIFRhbnRvIGxhcyBjbGFzZXMgdGXDs3JpY2FzIGNvbW8gcHLDoWN0aWNhcyBzZSBub3RhIHF1ZSBlc3TDoW4gbXV5IGJpZW4gcHJlcGFyYWRhcyB5IHBlbnNhZGFzLg==
Maioco,8302,2Q2020,1617291130911,5,5,5,5,5,5,5,5,5,
Little,8302,2Q2020,1617291130912,5,5,5,5,5,5,5,5,5,
Orona,8302,2Q2020,1617291130912,5,5,5,5,5,5,5,5,5,
Piccone,8302,2Q2020,1617291130912,5,5,5,5,5,5,5,5,5,
Perez Berro,7501,2Q2020,1617291161440,3,5,5,5,5,5,5,5,5,
Requena,6302,2Q2020,1617308477187,5,4,5,5,5,5,5,5,5,
Aphesteguy,6302,2Q2020,1617308477188,5,3,5,5,4,3,5,5,5,
Francois,6302,2Q2020,1617308477189,5,5,5,5,5,5,5,5,5,
Mas Tonon,6302,2Q2020,1617308477191,5,4,5,4,4,4,5,5,5,
Masurski,6302,2Q2020,1617308477192,5,5,5,5,5,5,5,5,5,
Estrin,6103,2Q2020,1617319366958,5,5,4,2,1,1,3,3,1,
Oliva,6103,2Q2020,1617319366959,5,4,4,5,4,3,4,4,5,
Seminara,6103,2Q2020,1617319366959,5,5,5,5,5,5,5,5,5,RGUgbGFzIG1lam9yZXMgcHJvZmVzb3JhcyBxdWUgdHV2ZSwgbXV5IHJlY29tZW5kYWRhLg==
Wilk,6103,2Q2020,1617319366960,5,5,5,5,4,4,5,5,4,
Caracciolo,6301,2Q2020,1617334637305,3,3,2,1,1,3,3,3,3,
Garcia Alvarez,6301,2Q2020,1617334637307,2,2,1,3,4,3,3,3,1,
Montaño Heredia,6301,2Q2020,1617334637307,5,4,5,3,3,4,4,4,5,
Peña,6109,2Q2020,1617381822601,5,5,5,5,5,5,5,5,5,RVhDRUxFTlRFISEh
Albert,6109,2Q2020,1617381822602,5,5,5,5,5,5,5,5,5,
Lopez,6109,2Q2020,1617381822603,5,5,5,5,5,5,5,5,5,VW4gZ2VuaW8hIFJlIGNvcGFkbywgZXhwbGljYSByZSBiaWVuLiBIaXpvIHVuIGdydXBvIGVuIGRpc2NvcmQgcGFyYSBxdWUgbGUgcHJlZ3VudGVtb3MgbG8gcXVlIG5lY2VzaXTDoWJhbW9zLiA=
Golmar,7506,2Q2020,1617502269387,5,5,5,4,4,3,4,4,5,
Argerich,7506,2Q2020,1617502269389,5,5,4,3,3,3,3,3,4,
Martinelli,7506,2Q2020,1617502269390,5,5,4,4,4,3,3,3,4,
Ramos Mejia,7506,2Q2020,1617502269391,5,5,4,3,3,3,3,3,4,
Torre Zaffaroni,7506,2Q2020,1617502269391,5,5,5,4,4,4,3,3,4,
Carisimo,7533,2Q2020,1617542811717,5,4,5,4,4,5,5,5,3,RWwgbWF0ZXJpYWwgZGVsIGN1cnNvIGVzIGJhc3RhbnRlIGRlc29yZGVuYWRvLCBzaW4gZW1iYXJnbyBlcyBleGNlbGVudGUgcXVlIHNpZ2EgbG9zIGxpYnJvcyB5YSBxdWUgZmFjaWxpdGEgZWwgZXN0dWRpby4gVGllbmUgYnVlbmEgcHJlZGlzcG9zaWNpb24geSBleHBsaWNhIGNvbiBjb25vY2ltaWVudG8=
Dejean,7515,2Q2020,1617542951811,5,5,5,5,4,4,3,3,3,
Beiro,7515,2Q2020,1617542951812,5,5,5,5,5,5,5,5,5,TGFzIGNsYXNlcyBlc3RhbiBpbmNyZWlibGVtZW50ZSBiaWVuIG9yZ2FuaXphZGFzLCB5IGRldGFsbGFkYXMgeSBleHBsaWNhIGNvbiBtdWNobyBjb25vY2ltaWVudG8uIENyZW8gcXVlIGVzIGRlIGxvIG1lam9yIHF1ZSB2aSBlbiBGSVVCQQ==
Fasce,7515,2Q2020,1617542951814,5,5,5,5,5,5,5,5,5,
Roman,7515,2Q2020,1617542951815,5,5,5,5,5,5,5,5,5,
Silveyra,6203,1Q2020,1617547313097,5,5,5,5,4,3,4,4,3,
Presa,6203,1Q2020,1617547313100,5,5,4,4,4,4,3,4,5,
Essaya,7502,1Q2020,1617547646993,5,5,5,5,5,5,5,4,4,
Santisi,7502,1Q2020,1617547646995,5,5,4,4,4,4,5,3,5,
Cynthia Gamarra,7502,1Q2020,1617547646997,2,2,3,3,3,1,3,3,4,
Santiago López,7502,1Q2020,1617547646999,5,5,5,3,5,5,4,5,5,
Bello,6109,2Q2020,1617563214226,5,5,5,5,5,5,5,5,5,RXhjZWxlbnRlIHByb2ZlLiBFeHBsaWNhIG11eSBjbGFybyB5IGRhIHN1IHBhcnRlIGRlIGxhIGNsYXNlIHRpcG8gdGFsbGVyIGxvIGN1YWwgc2lydmUgcGFyYSB2ZXIgc2kgc2UgZW50ZW5kacOzIGxhIHBhcnRlIHRlb3JpY2E=
Vera,6109,2Q2020,1617563214229,5,5,5,5,5,5,5,5,5,RXhwbGljYSBtdXkgYmllbg==
Puebla,6109,2Q2020,1617563214231,5,5,5,5,5,5,5,5,5,RXhwbGljYSBtdXkgYmllbiB5IGxlIHBvbmUgbXVjaGEgb25kYSBhIGxhcyBjbGFzZXM=
Mansilla,7503,2Q2020,1617563573512,4,4,2,2,3,2,2,2,1,
Benitez,7503,2Q2020,1617563573515,4,5,5,2,3,3,1,4,1,RGEgbGFzIGNsYXNlcyBsZXllbmRvIGRlIHVuIHBwdCBsbyBjdWFsIGxhcyBoYWNlIGFidXJyaWRhcw==
Berruezo,7503,2Q2020,1617563573518,4,5,5,4,5,5,4,4,1,RXhwbGljYSBtdXkgY2xhcm8uIFNpbiBkdWRhIGVsIG1lam9yIHByb2ZlIGRlIGVzdGEgbWF0ZXJpYS4g
Pan,7503,2Q2020,1617563573520,4,5,5,5,4,3,4,4,1,
Raducci,7503,2Q2020,1617563573523,4,5,5,3,3,3,3,4,1,
Graña,9139,2Q2020,1617564074988,5,5,5,5,5,5,5,5,5,
Devoto,9139,2Q2020,1617564074992,5,5,5,5,5,5,5,5,5,R3JhbiBwcm9mZXNvci4gU2Ugbm90YSBxdWUgc2FiZSBtdWNoaXNpbW8geSB0cmF0YSBkZSB0cmFuc2Zlcmlybm9zIHRvZG9zIGVzb3MgY29ub2NpbWllbnRvcy4gU3VwZXIgYW1hYmxlIHkgZXhwbGljYSBtdXkgY2xhcm8=
Conde,9139,2Q2020,1617564074994,5,5,5,5,5,5,5,5,5,RXhjZWxlbnRlIHByb2Zlc29yYS4gRXhwbGljYSBtdXkgY2xhcm8geSBzaWVtcHJlIGF0ZW50YS4gVG9kYSBjb25zdWx0YSBxdWUgc2UgbGUgaGFjaWEgcG9yIG1haWwgZWxsYSBjb250ZXN0YWJhLg==
Veiga,7542,2Q2020,1617565212942,2,3,5,5,5,4,5,5,3,
Di Paola,7542,2Q2020,1617565212945,5,5,5,5,5,5,5,5,5,
Lafroce,7542,2Q2020,1617565212946,5,5,5,5,5,5,5,5,5,TXV5IGNsYXJvIGEgbGEgaG9yYSBkZSBleHBsaWNhciwgc2llbXByZSBwcmVkaXNwdWVzdG8gYSBjb250ZXN0YXIgZHVkYXMuIExlam9zIGVsIG1lam9yIGNvcnJlY3RvciE=
Werner,7542,2Q2020,1617565212948,5,5,5,5,5,5,5,5,5,
Suarez,7507,1Q2020,1617565480371,3,3,1,1,2,1,3,1,1,c2FiZSBtdWNobyBwZXJvIGNvbW8gZG9jZW50ZSBlcyBtYWxvLiBFbnRyZWdvIGxhcyBub3RhcyBkZWwgZmluYWwgZWwgbWlzbW8gZGlhIGRlIGxhIG90cmEgZmVjaGEoIDIgbWluIGFudGVzIGRlIHF1ZSBhcnJhbnF1ZSBsYSBvdHJhIGluc3RhbmNpYSkuIE5vIHJlc3BvbmRlIG1haWxzLCBubyBzZSBkaXJpZ2UgZGUgYnVlbmEgZm9ybWEgaGFjaWEgbG9zIGFsdW1ub3Mu
Yolis,7507,1Q2020,1617565480376,5,5,5,5,5,5,5,5,5,
Degiovannini,7507,1Q2020,1617565480384,5,5,5,5,5,5,5,5,5,
Bello,6109,2Q2020,1617574981092,5,5,5,5,4,5,5,5,5,
Vera,6109,2Q2020,1617574981094,5,5,4,5,4,4,5,5,5,
Puebla,6109,2Q2020,1617574981095,5,5,5,5,5,4,5,5,3,
Corsi,9548,2Q2020,1617585243852,5,5,5,5,5,4,5,5,5,TGFzIGNsYXNlcyBlc3TDoW4gYmllbiBvcmdhbml6YWRhcy4gVG9tYSBhc2lzdGVuY2lhLiBMYXMgY2xhc2VzIHRlw7NyaWNhcyBxdWVkYW4gZ3JhYmFkYXMgcGFyYSBwb2RlciB2ZXJsYXMgbnVldmFtZW50ZSBlbiBjYXNvIGRlIHNlciBuZWNlc2FyaW8u
Lopez,6103,2Q2020,1617633385531,5,5,5,5,5,4,4,5,5,RGEgbGFzIHByw6FjdGljYXMgeSBzZSB2YSB0dXJuYW5kbyBjb24gbG9zIG90cm9zIGRvY2VudGVzLiBDbGF1ZGlhIGV4cGxpY2EgbXV5IGJpZW4sIHkgc2kgbmVjZXNpdGFzIGRldm9sdmVydGUgYSBxdWUgdGUgZXhwbGlxdWUgYWxnbyBkZSBhbnRlcyBsbyBoYWNlIHBlcmZlY3RhbWVudGUgaGFzdGEgcXVlIGVudGllbmRhcyBzaW4gZHJhbWEuIFB1ZWRlIHF1ZSBhIHZlY2VzIG5vIHNlYSBkZSBsYSBtZWpvciBnYW5hIHBvc2libGUgcGVybyBzdSBleHBsaWNhY2nDs24gZXMgaW1wZWNhYmxlLg==
