doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,calse_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Altieri,8609,2Q2017,1533872210263,5,5,5,3,3,3,3,3,3,Q3VhbmRvIHlvIGxhIGN1cnPDqSwgcGVyZGnDsyBtdWNoYXMgY2xhc2VzIGV4cGxpY2FuZG8gY29zYXMgYsOhc2ljYXMgZGUgcHJvYmFiaWxpZGFkIDov
Lupi,8609,2Q2017,1533872210267,5,5,5,4,4,4,4,4,3,RGUgZXN0YSBwcmFjdGljYSwgZXMgZWwgcXVlIG1lam9yIGV4cGxpY2EuIExhc3RpbWEgcXVlIG5vIHNlIGhhY2VuIG11Y2hvcyBlamVyY2ljaW9zLiBEZSBoYWJlciBzYWJpZG8gbGEgaGFicsOtYSBjdXJzYWRvIGVuIG90cmEgY2F0ZWRyYS4=
Jourdan,8609,2Q2017,1533872210270,3,3,4,3,3,3,2,3,2,U3VlbGUgc2VyIGFsZ28gY29uZnVzbw==
Santamartina,8711,1Q2018,1533872241866,2,3,2,4,2,1,1,1,1,aGFibGEgbXVjaG8gZGUgYnJhc2ls
Sande,8711,1Q2018,1533872241868,3,2,2,1,4,4,2,3,2,
Raiden,8711,1Q2018,1533872241869,5,5,5,5,5,5,5,5,5,TGUgcG9uZSBtdWNoYSBvbmRhLiBSZXNwb25kZSBsb3MgbWFpbHMgYSBsYSBtYWRydWdhZGEu
Porcellana,8711,1Q2018,1533872241870,1,1,4,3,1,1,3,2,3,
Unger,8101,1Q2018,1533872274089,5,5,5,4,4,3,4,4,4,
Fittipaldi,8101,1Q2018,1533872274092,3,3,3,3,3,3,3,3,3,
Argerich,7506,2Q2016,1533872275527,5,5,5,5,5,5,5,5,5,RGUgbG9zIG1lam9yZXMgcHJvZmVzb3JlcyBkZSBlc3RhIGZhY3VsdGFk
Golmar,7506,2Q2016,1533872275529,4,5,5,4,4,4,4,4,4,
Ramos Mejia,7506,2Q2016,1533872275531,4,5,4,4,3,4,4,4,4,
Raiden,8711,1Q2018,1533872295951,5,5,5,5,5,5,5,5,5,
Cornejo,8201,2Q2017,1533872315524,5,5,2,4,3,1,2,2,1,
Sola,8201,2Q2017,1533872315530,4,4,2,2,2,2,3,3,2,
Gonzalez,8201,2Q2017,1533872315536,3,3,3,3,3,3,3,3,3,
Papa,8201,2Q2017,1533872315542,3,3,3,3,3,3,3,3,3,
Morales Arias,8201,2Q2017,1533872315547,3,3,3,3,3,3,3,3,3,
Roca,7542,1Q2017,1533872363175,5,5,3,2,1,2,2,1,2,QSBtaSBndXN0byBubyBlcyB1biBidWVuIHByb2Zlc29yLCBwb2NvIHRvbGVyYW50ZSBhbCBlcnJvciBkZWwgYWx1bW5vLCBwYXJlY2Vyw61hIHF1ZSBsZSBndXN0YSByZXByb2JhciBnZW50ZS4=
Santiago,8202,1Q2018,1533872405303,4,4,5,5,4,3,5,4,5,
Fernandez,8202,1Q2018,1533872405310,1,1,1,1,1,1,1,1,1,
Presa,8202,1Q2018,1533872405314,5,5,5,5,5,5,5,5,5,
Aguirre,6215,2Q2017,1533872455144,5,4,5,3,4,3,2,3,3,
